iter	Passed	Remaining
0	419	631539
1	731	550048
2	931	466336
3	1226	460236
4	1426	427873
5	1833	458147
6	2054	439688
7	2371	443692
8	2598	432009
9	2833	423559
10	3127	424754
11	3270	406928
12	3467	397960
13	3531	376074
14	3585	356149
15	3623	337257
16	3665	320879
17	3708	306357
18	3746	292995
19	3784	281019
20	3823	270200
21	3861	260316
22	3915	252280
23	3955	244068
24	3996	236570
25	4037	229656
26	4076	223123
27	4118	217240
28	4159	211683
29	4196	206327
30	4236	201426
31	4274	196768
32	4312	192376
33	4350	188242
34	4390	184381
35	4428	180689
36	4465	177177
37	4506	173984
38	4546	170897
39	4585	167943
40	4627	165241
41	4665	162516
42	4714	160298
43	4753	157826
44	4788	155355
45	4827	153125
46	4863	150874
47	4900	148765
48	4939	146779
49	4976	144810
50	5010	142852
51	5048	141078
52	5087	139366
53	5125	137728
54	5162	136103
55	5198	134511
56	5235	132993
57	5270	131485
58	5304	130000
59	5340	128620
60	5375	127240
61	5407	125865
62	5443	124593
63	5479	123363
64	5513	122140
65	5547	120950
66	5581	119802
67	5616	118690
68	5651	117621
69	5685	116555
70	5721	115558
71	5756	114579
72	5790	113593
73	5826	112674
74	5860	111743
75	5895	110857
76	5929	109957
77	5965	109139
78	6002	108345
79	6041	107606
80	6077	106844
81	6112	106066
82	6147	105320
83	6185	104645
84	6222	103955
85	6273	103519
86	6310	102846
87	6347	102210
88	6382	101540
89	6417	100895
90	6453	100274
91	6490	99685
92	6526	99092
93	6562	98504
94	6598	97930
95	6634	97367
96	6674	96877
97	6713	96383
98	6748	95845
99	6789	95391
100	6827	94903
101	6864	94417
102	6903	93963
103	6938	93471
104	6978	93047
105	7016	92609
106	7059	92235
107	7096	91795
108	7133	91364
109	7170	90935
110	7207	90516
111	7244	90109
112	7280	89681
113	7317	89281
114	7354	88893
115	7393	88529
116	7433	88186
117	7472	87833
118	7511	87482
119	7551	87153
120	7590	86824
121	7629	86483
122	7666	86133
123	7704	85802
124	7741	85463
125	7776	85108
126	7812	84766
127	7851	84465
128	7889	84154
129	7925	83825
130	7959	83488
131	7995	83168
132	8034	82884
133	8071	82584
134	8110	82304
135	8148	82026
136	8188	81766
137	8227	81495
138	8264	81216
139	8302	80949
140	8339	80676
141	8377	80409
142	8417	80173
143	8457	79934
144	8497	79699
145	8534	79444
146	8573	79206
147	8617	79015
148	8659	78807
149	8700	78595
150	8737	78348
151	8774	78107
152	8814	77888
153	8856	77692
154	8896	77481
155	8935	77268
156	8976	77075
157	9014	76848
158	9052	76630
159	9091	76423
160	9131	76228
161	9166	75991
162	9201	75756
163	9239	75548
164	9277	75346
165	9316	75152
166	9355	74958
167	9392	74751
168	9427	74523
169	9465	74329
170	9502	74131
171	9539	73928
172	9577	73740
173	9619	73580
174	9657	73395
175	9699	73243
176	9737	73055
177	9777	72895
178	9816	72720
179	9856	72556
180	9895	72383
181	9931	72194
182	9970	72025
183	10009	71858
184	10047	71687
185	10083	71503
186	10120	71331
187	10157	71157
188	10197	71006
189	10234	70832
190	10274	70686
191	10309	70501
192	10346	70333
193	10383	70171
194	10420	70006
195	10459	69855
196	10496	69695
197	10536	69554
198	10576	69413
199	10612	69247
200	10650	69093
201	10686	68930
202	10721	68768
203	10759	68621
204	10796	68463
205	10832	68304
206	10867	68145
207	10907	68013
208	10941	67846
209	10976	67688
210	11015	67552
211	11052	67408
212	11089	67266
213	11123	67102
214	11159	66958
215	11197	66824
216	11235	66689
217	11273	66554
218	11311	66420
219	11347	66278
220	11383	66138
221	11419	65994
222	11454	65850
223	11493	65725
224	11533	65610
225	11574	65501
226	11615	65394
227	11654	65273
228	11694	65161
229	11732	65040
230	11769	64909
231	11806	64785
232	11844	64659
233	11880	64531
234	11917	64406
235	11956	64288
236	11992	64161
237	12026	64025
238	12064	63904
239	12100	63780
240	12136	63653
241	12170	63520
242	12208	63401
243	12243	63273
244	12281	63162
245	12319	63050
246	12356	62931
247	12391	62805
248	12425	62676
249	12462	62562
250	12499	62446
251	12534	62325
252	12572	62217
253	12607	62092
254	12648	62002
255	12686	61897
256	12724	61791
257	12758	61666
258	12796	61559
259	12833	61451
260	12871	61348
261	12906	61232
262	12943	61125
263	12983	61031
264	13019	60921
265	13056	60817
266	13091	60701
267	13129	60600
268	13163	60484
269	13201	60383
270	13234	60263
271	13268	60147
272	13304	60040
273	13338	59925
274	13371	59805
275	13406	59696
276	13444	59602
277	13478	59489
278	13513	59379
279	13549	59277
280	13586	59181
281	13620	59070
282	13659	58981
283	13695	58879
284	13733	58788
285	13768	58684
286	13804	58585
287	13839	58481
288	13879	58400
289	13915	58299
290	13951	58203
291	13987	58107
292	14026	58019
293	14062	57925
294	14100	57837
295	14142	57763
296	14179	57673
297	14215	57577
298	14249	57475
299	14283	57372
300	14317	57271
301	14353	57175
302	14387	57074
303	14422	56976
304	14455	56875
305	14490	56779
306	14524	56676
307	14558	56579
308	14594	56489
309	14633	56410
310	14669	56319
311	14709	56244
312	14748	56167
313	14787	56087
314	14827	56013
315	14866	55936
316	14906	55862
317	14945	55786
318	14984	55710
319	15021	55625
320	15057	55539
321	15092	55448
322	15130	55369
323	15168	55291
324	15206	55211
325	15247	55142
326	15285	55066
327	15324	54989
328	15360	54904
329	15398	54827
330	15436	54750
331	15476	54679
332	15517	54612
333	15555	54536
334	15592	54457
335	15628	54372
336	15662	54285
337	15700	54207
338	15732	54111
339	15765	54018
340	15799	53931
341	15836	53854
342	15869	53762
343	15906	53684
344	15940	53597
345	15976	53516
346	16010	53428
347	16045	53345
348	16081	53267
349	16117	53187
350	16152	53104
351	16190	53032
352	16225	52949
353	16262	52874
354	16296	52791
355	16331	52710
356	16364	52623
357	16398	52539
358	16433	52458
359	16468	52378
360	16502	52297
361	16536	52212
362	16571	52135
363	16606	52054
364	16641	51976
365	16674	51892
366	16709	51813
367	16745	51737
368	16779	51657
369	16816	51584
370	16849	51500
371	16883	51421
372	16915	51335
373	16954	51270
374	16987	51188
375	17023	51115
376	17062	51050
377	17097	50975
378	17135	50910
379	17171	50835
380	17207	50763
381	17241	50687
382	17275	50608
